Tweet_ID,Tweet_Text,created_at,location,Informativeness
3.8992E+17,RT @hamburqa: there was a 7.2 magnitude earthquake in philippines after u posted that G.U.Y. snippet. THIS WORLD CAN'T HANDLE #ARTPOP. @ladâ€_,Tue Oct 15 01:05:42 +0000 2013,actresses ‰Û¢ gaga ‰Û¢ del rey,Related and informative
3.8992E+17,National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters,Tue Oct 15 01:06:15 +0000 2013,US,Related and informative
3.89921E+17,A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami.,Tue Oct 15 01:07:57 +0000 2013,Vancouver,Related and informative
3.89922E+17,"RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Tue Oct 15 01:14:38 +0000 2013,Sunshine Coast Qld,Related and informative
3.89922E+17,RT @joshdanieldlr: Just a strong earthquake recently happened... let's pray 4 those who were badly affected... God bless us. #cebu,Tue Oct 15 01:14:47 +0000 2013,National City,Related - but not informative
3.89923E+17,7.4 quake strikes Philippines http://t.co/CYFzDjMH8X,Tue Oct 15 01:16:05 +0000 2013,New Zealand,Related and informative
3.89923E+17,"RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Tue Oct 15 01:16:08 +0000 2013,Orange County CA USA,Related and informative
3.89923E+17,"RT @YahooNews: Magnitude 7.4 quake hits Philippines, no tsunami threat: http://t.co/UikcL2p11t",Tue Oct 15 01:18:31 +0000 2013,"Des Moines, IA",Related and informative
3.89923E+17,RT @ilovejamich: Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philippâ€_,Tue Oct 15 01:18:42 +0000 2013,Lipa City,Related and informative
3.89924E+17,"RT @cnni: A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says. http://t.co/3jwtWsTrP9",Tue Oct 15 01:21:59 +0000 2013,"NCR,Philippines and Toronto",Related and informative
3.89924E+17,"#earthquake M7.2: Bohol, Philippines http://t.co/mcLjuPxXBX",Tue Oct 15 01:22:02 +0000 2013,,Related and informative
3.89924E+17,"Lord God, keep the people safe in the Philippines  #earthquake",Tue Oct 15 01:22:31 +0000 2013,,Related - but not informative
3.89924E+17,"RT @abcnews: #Breaking: #Earthquake measuring 7.4 hits southern Philippines, says USGS",Tue Oct 15 01:22:46 +0000 2013,Brisbane,Related and informative
3.89925E+17,7.2 quake hits southern Philippines http://t.co/XB9WUM3B7V,Tue Oct 15 01:24:11 +0000 2013,,Related and informative
3.89925E+17,Major earthquake hits the Philippines http://t.co/uS0nhcvUl6,Tue Oct 15 01:24:59 +0000 2013,,Related and informative
3.89926E+17,#Jackrobinson73 7.2-earthquake hits Philippines http://t.co/g1fzaRGjnp #Jackrobinson73,Tue Oct 15 01:30:51 +0000 2013,,Related and informative
3.89926E+17,Major quake hits Philippines http://t.co/fHHxr8iWrg,Tue Oct 15 01:30:59 +0000 2013,Trukstop skate park,Related and informative
3.89926E+17,Breaking: A 7.2 earthquake just hit Bohol in central Philippines.,Tue Oct 15 01:31:09 +0000 2013,the World,Related and informative
3.89927E+17,"RT @BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say",,,Related and informative
3.89927E+17,RT @EarthAlerts: #earthquake: M 7.2 - Pacific Ocean - West Philippines [Central Visayas] Buenavista: Preliminary Earthquake Rep... http://tâ€_,,,Related and informative
3.89928E+17,RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas _Ÿ™è,,,Related - but not informative
3.89928E+17,"@BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say _Ÿ˜¢",Tue Oct 15 01:36:29 +0000 2013,U.S.A.,Related and informative
3.89928E+17,RT @mindanaoan: Is this in #Bohol Robert? OMG so heartbreaking!!! #earthquake RT @tokyodrastic: 400 year old tower collapsed... http://t.coâ€_,,,Related and informative
3.89928E+17,RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas _Ÿ™è,Tue Oct 15 01:37:30 +0000 2013,"Bacolod City, Western Visayas",Related - but not informative
3.89928E+17,Major earthquake hits the Philippines http://t.co/uI8F8FeCsa,,,Related and informative
3.89928E+17,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/kt6daIcIei",Tue Oct 15 01:38:30 +0000 2013,,Related and informative
3.89928E+17,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/HekKxVreiN",Tue Oct 15 01:38:46 +0000 2013,india,Related and informative
3.89929E+17,'Four killed' by Philippines quake http://t.co/MWs7ccLiPP,Tue Oct 15 01:42:55 +0000 2013,,Related and informative
3.89929E+17,RT @jerminix: Grabbed pic from the #earthquake aftermath.. stay safe everyone #cebu @sunstarcebu @gmanews @GMANewsOnline http://t.co/IYVXRBâ€_,Tue Oct 15 01:43:21 +0000 2013,,Related - but not informative
3.8993E+17,"7.2 quake his Philippines: MANILA, Oct. 14 (UPI) --  A magnitude-7.2 earthquake hit the Philippines Tuesday mo... http://t.co/1jAZw4Tpm1",Tue Oct 15 01:44:36 +0000 2013,"Ibadan, Nigeria",Related and informative
3.8993E+17,@SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas _Ÿ™è,Tue Oct 15 01:44:40 +0000 2013,KDKN,Related - but not informative
3.8993E+17,"RT @NBCNews: 7.2 quake strikes near one of Philippines' largest cities, according to USGS. Reuters &amp; local media report 4 killed http://t.câ€_",Tue Oct 15 01:45:56 +0000 2013,"Raleigh, NC",Related and informative
3.89931E+17,"RT @WW5SOSFamily: there was an earthquake in the philippines(visayas) earlier while i was fangirling at keek, pls pray for them guys it wasâ€_",,,Related and informative
3.89931E+17,"RT @RicoHizon: 7.2 magnitude quake strikes #Bohol, #Philippines at 8:12 am according to the USGS. Praying for the safety of our our kababayâ€_",Tue Oct 15 01:48:00 +0000 2013,,Related and informative
3.89931E+17,"RT @EXOffical_: Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",,,Related - but not informative
3.89931E+17,RT @itsbarbiexu: prayers to people of philippines affected by magnitude 7 earthquake. hope all is safe,,,Related - but not informative
3.89931E+17,"#SuryaRay #Indian 7.2 quake hits central Philippines, killing 4 - USA TODAY http://t.co/uSbXYdbBHO @SuryaRay #India",Tue Oct 15 01:50:09 +0000 2013,,Related and informative
3.89931E+17,"RT @EXOffical_: Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",,,Related - but not informative
3.89931E+17,Photo: #Soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic #instagram... http://t.co/JpZIdjEIaw,Tue Oct 15 01:50:35 +0000 2013,Cebu,Related - but not informative
3.89931E+17,GOD . wag nio po clang papabayaan #PrayForBohol,Tue Oct 15 01:51:26 +0000 2013,Republic of the Philippines,Related - but not informative
3.89932E+17,"4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Tue Oct 15 01:51:47 +0000 2013,"Washington, DC",Related and informative
3.89932E+17,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/YVFyXT1ltJ",Tue Oct 15 01:51:49 +0000 2013,,Related and informative
3.89932E+17,"7.2 quake hits central Philippines, killing 4 - http://t.co/sx1fmLwhGb",,,Related and informative
3.89932E+17,RT @Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/oPHoBr6CFq,Tue Oct 15 01:52:18 +0000 2013,Planet Earth,Related and informative
3.89932E+17,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/ctlNeG4G40",Tue Oct 15 01:52:21 +0000 2013,"Lagos, Nigeria",Related and informative
3.89932E+17,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/5a2SG6gu3S",Tue Oct 15 01:53:12 +0000 2013,"When u get 2 YABA, turn LEFT",Related and informative
3.89932E+17,RT @EXOffical_: NOW: Church and roads impacted by large 7.2 magnitude #earthquake in #Bohol #Philippines Tuesday. 4 dead. http://t.co/CUzVDâ€_,,,Related and informative
3.89933E+17,RT @disguised101: @danicelorenzo: i pray for the safety of the people there in visayas #earthquake #Philippines http://t.co/aNW5FJW3pS Stâ€_,Tue Oct 15 01:55:39 +0000 2013,,Related - but not informative
3.89933E+17,RT @nglive2: AFP Major 7.2 magnitude quake strikes Philippines: USGS http://t.co/6LyIvywxkQ,,,Related and informative
3.89933E+17,"RT @BBCBreaking: 7.2 magnitude earthquake hits central Philippines, killing four, but no tsunami expected say officials http://t.co/5iok6dDâ€_",,,Related and informative
3.89933E+17,"RT @bbcnews_ticker: Earthquake measuring 7.2 magnitude hits central Philippines, killing four people - officials http://t.co/4wmjUmSW4u",Tue Oct 15 01:56:29 +0000 2013,I live in paradise.,Related and informative
3.89933E+17,7.2 magnitude keep safe everyone #PrayForBohol and to the nearest island who also affected of earthquake #PrayForPhilippines,,,Related and informative
3.89933E+17,"RT @duvall_jd: 7.2 quake hits central Philippines, killing 4 - USA TODAY: Vancouver Sun7.2 quake hits central Ph... http://t.co/EGYxj0FEaC â€_",Tue Oct 15 01:58:21 +0000 2013,BC,Related and informative
3.89933E+17,@Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/tCt1uHnbS0,Tue Oct 15 01:58:23 +0000 2013,Worldwide,Related and informative
3.89933E+17,Latest on the deadly #earthquake that hit the #Philippines just over an hour ago.... http://t.co/0zBCFdXD8J http://t.co/rhrO0kw3SI...,Tue Oct 15 01:58:45 +0000 2013,"New York, NY",Related and informative
3.89933E+17,Let's be united and pray for the #EarthquakeVictims in Bohol and other nearby provinces. #PrayforVisayas #earthquake,,,Related - but not informative
3.89934E+17,RT @kenzhuxiaotian: â€œ@itsbarbiexu: prayers to people of philippines affected by magnitude 7 earthquake. hope all is safeâ€ù -Be safe guys!,,,Related - but not informative
3.89934E+17,"Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",Tue Oct 15 02:00:42 +0000 2013,,Related - but not informative
3.89934E+17,"For a Boholano OFW like me, walang ibang magawa sa ngayon kundi ang magdasal at umiyak. #prayforBohol",Tue Oct 15 02:01:00 +0000 2013,"Bangkok, Thailand",Related - but not informative
3.89934E+17,RT @yongchavezLA: RT @NBCNews: 7.2 quake strikes near one of Philippines' largest cities. Reuters &amp; local media report 4 killed http://t.coâ€_,,,Related and informative
3.89934E+17,RT @LANow: No California tsunami threat after 7.2 earthquake in Philippines http://t.co/5j8N1TsdLm,Tue Oct 15 02:02:39 +0000 2013,An Alternate Alien Universe,Related and informative
3.89934E+17,RT @GasiaKTVU: #breaking Radio reports say a 7.2-magnitude quake has killed at least 4 people in central Philippines @KTVU,Tue Oct 15 02:03:16 +0000 2013,sfc,Related and informative
3.89935E+17,RT @ABC7: PHILIPPINES #EARTHQUAKE: Radio reports say 7.2-mag. quake has killed at least 4 people in central Philippines http://t.co/QTOTifxâ€_,Tue Oct 15 02:03:59 +0000 2013,"Manila, Philippines",Related and informative
3.89935E+17,"RT @BBCBreaking: 7.2 magnitude earthquake hits central Philippines, killing four, but no tsunami expected say officials http://t.co/5iok6dDâ€_",Tue Oct 15 02:04:07 +0000 2013,"Bicol Region, Republic of the Philippines",Related and informative
3.89935E+17,Just found out about what happened in #bohol.. saw pictures of churches ruined. :(( #keepsafe #earthquakes,Tue Oct 15 02:04:29 +0000 2013,"saskatoon, SK",Related - but not informative
3.89935E+17,â€œ@gabyramaaaa: Loboc Church in Bohol #prayforbohol http://t.co/G1ZOvh5Zglâ€ù,Tue Oct 15 02:05:29 +0000 2013,"Nashville, TN",Related - but not informative
3.89935E+17,RT @ABC7: PHILIPPINES #EARTHQUAKE: Radio reports say 7.2-mag. quake has killed at least 4 people in central (more) http://t.co/MHGv5ifvHZ,Tue Oct 15 02:06:21 +0000 2013,Land called PARAISO --PH,Related and informative
3.89936E+17,RT @AP: BREAKING: Radio reports say a 7.2-magnitude quake has killed at least 4 people in central Philippines,Tue Oct 15 02:08:47 +0000 2013,Boston & Paris,Related and informative
3.89937E+17,#PrayforBoholandCebu #PrayForBohol #PrayForCarmenBohol _Ÿ™è_Ÿ™è,,,Related - but not informative
3.89937E+17,Magnitude 7.2 is no more joke.. #PrayForBohol,,,Related and informative
3.89938E+17,"#PrayforVisayas Kanta nalang ako, para hindi ma rattle :( :(",Tue Oct 15 02:17:20 +0000 2013,"Queen City of the South, Cebu!",Related and informative
3.89938E+17,please pray for #Bohol,Tue Oct 15 02:17:34 +0000 2013,,Related - but not informative
3.89939E+17,"RT @BBCBreaking: 7.2 magnitude earthquake hits central Philippines, killing four, but no tsunami expected say officials http://t.co/5iok6dDâ€_",Tue Oct 15 02:21:56 +0000 2013,City of Stars,Related and informative
3.89939E+17,RT @ABC7: PHILIPPINES #EARTHQUAKE: Radio reports say 7.2-mag. quake has killed at least 4 people in central Philippines http://t.co/QTOTifxâ€_,,,Related and informative
3.89939E+17,Sending my prayers to all those affected by 7.2 magnitude earthquake that just hit the Philippines.,Tue Oct 15 02:22:17 +0000 2013,,Related - but not informative
3.8994E+17,RT @alliharvard: i just heard about the earthquake in the philippines! i hope everyone is okay â™¡,Tue Oct 15 02:23:26 +0000 2013,221b baker st,Related - but not informative
3.8994E+17,RT @alliharvard: i just heard about the earthquake in the philippines! i hope everyone is okay â™¡,,,Related - but not informative
3.89941E+17,"Before anything else, #PrayforVisayas",Tue Oct 15 02:28:18 +0000 2013,seoul,Related - but not informative
3.89941E+17,"RT @Elcid_Lao: The Miraculous Famous Dauis Church of Panglao, Bohol destroyed!!! @ABSCBNNews Photo: Thara co #PrayForBohol http://t.co/DAl1â€_",,,Related and informative
3.89941E+17,RT @enzodeocales: 411 Year old Loboc Church in Bohol is badly damaged by a 7.2 earthquake. Very heartbreaking ;'(( #PrayForBohol http://t.câ€_,Tue Oct 15 02:29:43 +0000 2013,City of Stars,Related and informative
3.89941E+17,At least 4 people killed after 7.2 #earthquake hits central #Philippines. #least (http://t.co/3UVVRfBCDs),Tue Oct 15 02:30:24 +0000 2013,News That Really Matters!,Related and informative
3.89941E+17,4 Killed in Philippines Earthquake http://t.co/eJgUk1ZhdQ,,,Related and informative
3.89942E+17,"A 7.2-magnitude earthquake struck in southeastern Philippines, says USGS. via @cnnbrk",Tue Oct 15 02:31:26 +0000 2013,,Related and informative
3.89942E+17,Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews,Tue Oct 15 02:31:53 +0000 2013,"Manila, Philippines",Related and informative
3.89942E+17,RT @YsaGalan: this is what happened to Baclayon Church. One of the oldest church in Philippines. #earthquake #cebuearthquake http://t.co/8Gâ€_,,,Related and informative
3.89943E+17,RT @BILLYversCebu: Earthquake!!! First time I felt this.  #PrayforVisayas,Tue Oct 15 02:36:14 +0000 2013,"San Diego, California",Related - but not informative
3.89943E+17,Magnitude 7.1 earthquake hits the Philippines! CNN,Tue Oct 15 02:37:02 +0000 2013,"UNDP New York, USA",Related and informative
3.89943E+17,RT @QueenPetraK: 1 Retweet = 1 Prayer  #PrayforVisayas,Tue Oct 15 02:38:26 +0000 2013,,Related - but not informative
3.89944E+17,RT @FeedTheChildren: Please pray for the people of the Philippines. A 7.2 earthquake hit Cebu and surrounding area today. Two of our staff â€_,Tue Oct 15 02:39:10 +0000 2013,"Washington, DC area",Related and informative
3.89944E+17,"Bible Prophecy, Rapture, 7.2 Earthquake Philippines Oct 14 2013 | Watch: http://t.co/Xs2KJ3bTba",Tue Oct 15 02:40:56 +0000 2013,Philippines,Related and informative
3.89944E+17,RT @earthskyscience: Powerful 7.2-magnitude earthquake has rocked southern islands in Philippines.  http://t.co/d5hdAFcXQE http://t.co/6pUkâ€_,Tue Oct 15 02:42:35 +0000 2013,@localhost/localgroup,Related and informative
3.89944E+17,Magnitude-7.1 earthquake hits the Philippines:        http://t.co/wBso0bkbij,Tue Oct 15 02:42:55 +0000 2013,Dubai,Related and informative
3.89945E+17,RT @QueenPetraK: 1 Retweet = 1 Prayer  #PrayforVisayas,Tue Oct 15 02:43:28 +0000 2013,,Related - but not informative
3.89945E+17,Historical Loboc Church after the Earthquake. :(( http://t.co/MNbmjIFl0b #PrayForBohol #PrayForCebu,,,Related - but not informative
3.89947E+17,"RT @JeJeQueenKATH: Don't Tweet It.. Do IT! mdami n nman pampam, mga eseknadora lalo n mga jejes!!  #PrayForVisayas",,,Related - but not informative
3.89947E+17,"Sad,sad,sad news..._Ÿ™è_Ÿ™è#PrayForBohol #PrayForCebu",Tue Oct 15 02:52:28 +0000 2013,"Manila,Philippines",Related - but not informative
3.89947E+17,"It hurts my heart seeing the damage of the earthquake that hit Bohol. The Philippines is my 2nd home, it's part of who I am. Urgh. &lt;/3",,,Related - but not informative
3.89947E+17,Major earthquake hits the Philippines - http://t.co/w16B3PW665,Tue Oct 15 02:54:10 +0000 2013,Thailand,Related and informative
3.89948E+17,"Lord,help us... #PrayForVisayas",Tue Oct 15 02:55:45 +0000 2013,Philippines,Related - but not informative
3.89948E+17,RT @inquirerdotnet: INFOGRAPHIC: Map locating the epicentre of a 7.1-magnitude quake that hit central Philippines http://t.co/UztvhpRuPq | â€_,Tue Oct 15 02:56:40 +0000 2013,,Related and informative
3.89948E+17,"RT @NewEarthquake: 5.0 earthquake, 2km SSE of Clarin, Philippines. Oct 15 10:42 at epicenter (14m ago, depth 23km). http://t.co/KKMtEbCOWg",Tue Oct 15 02:57:29 +0000 2013,_ÏÂ_üü‹Å¨èê_‹Å¬‹ÅÑç©«‹Å¨_ü_,Related and informative
3.89948E+17,RT @ilovejamich: The historical Loboc Church in Bohol :( Before &amp; after #earthquake #PrayForVisayas God bless the Philippines http://t.co/Yâ€_,,,Related and informative
3.89949E+17,RT @YanTayoEh: Loboc Church in Bohol then and now after the 7.2 magnitude earthquake just today #earthquake #PrayForVisayas (c) http://t.coâ€_,,,Related and informative
3.89949E+17,RT @GandangGabiVice: This is really heartbreaking :'( #PrayForVisayas http://t.co/PihNhUmwiW,,,Related - but not informative
3.89949E+17,RT @BILLYversCebu: So this is what happened to Gaisano country mall. #PrayForVisayas http://t.co/AV3zX8TkXV,Tue Oct 15 02:59:30 +0000 2013,Pasig City,Related - but not informative
3.89949E+17,I hope you really pray for them because your tweets won't make a difference #PrayforVisayas,,,Related - but not informative
3.89949E+17,RT @GandangGabiVice: This is really heartbreaking :'( #PrayForVisayas http://t.co/PihNhUmwiW,Tue Oct 15 03:00:32 +0000 2013,,Related - but not informative
3.89949E+17,Emang di pilipina ada apaan min ?@Update_Transfer: #PrayForPhilippines #PrayForVisayas,Tue Oct 15 03:00:42 +0000 2013,,Related - but not informative
3.89949E+17,RT @owyposadas: Awwwww :( #PrayForVisayas,,,Related - but not informative
3.89949E+17,Let's say our prayers for those affected by the earthquake. #PrayForVisayas #earthquakePH,Tue Oct 15 03:01:07 +0000 2013,"Metro Manila, Philippines",Related - but not informative
3.89949E+17,"RT @ryanb0n: Pray it really works. Dont tweet it, just do it!!  #PrayforVisayas",,,Related - but not informative
3.89949E+17,@G2BArmyCebu Keepsafe ! #PrayForVisayas #PrayForCebu  -- Hâ™¥,Tue Oct 15 03:02:28 +0000 2013,,Related - but not informative
3.89949E+17,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... httpâ€_",Tue Oct 15 03:02:58 +0000 2013,"Death March km00, Philippines",Related and informative
3.8995E+17,Praying for everyone in Bohol and Cebu esp. for my relatives there. #PrayforBohol #PrayForCebu,,,Related - but not informative
3.8995E+17,@tomlinsondisney yep. search for #PrayForVisayas and you'll see the church is destroyed by the earthquake :(,Tue Oct 15 03:06:26 +0000 2013,,Related and informative
3.89951E+17,RT @GandangGabiVice: This is really heartbreaking :'( #PrayForVisayas http://t.co/PihNhUmwiW,Tue Oct 15 03:07:53 +0000 2013,Manila,Related - but not informative
3.89951E+17,RT @SaklapFriend: God is good all the time. #PrayForVisayas,Tue Oct 15 03:08:02 +0000 2013,Republic of the Philippines,Related - but not informative
3.89951E+17,#PrayForVisayas Earthquake go away don't come again another day .. people wants to live in peace ...,Tue Oct 15 03:08:13 +0000 2013,FOLLOW @iwillbeyourmelody,Related - but not informative
3.89951E+17,#PrayForVisayas Keep safe everyone! :(,Tue Oct 15 03:08:50 +0000 2013, ‰÷Å away from reality ‰÷Å,Related - but not informative
3.89951E+17,RT @kristeeelclear: Bohol &lt;/3 :( Please pray for our fellow Filipinos affected by the earthquake #PrayForVisayas,,,Related - but not informative
3.89952E+17,RT @japantimes: 7.2M quake jolts Philippines http://t.co/U2MJ09U5V6,Tue Oct 15 03:10:59 +0000 2013,‹â¬‹Ä¥‹Ä¬‹â_,Related and informative
3.89952E+17,RT @owyposadas: Awwwww :( #PrayForVisayas,,,Related - but not informative
3.89952E+17,11:11 #PrayForVisayas sana okay lang sila,,,Related - but not informative
3.89952E+17,"RT @juanxi: Please spread the word. Mga kababayan sa Visayas, please use #rescuePH for information about people needing rescue. We will...",Tue Oct 15 03:12:40 +0000 2013,"Gen. Santos City, Philippines",Related and informative
3.89952E+17,#PrayForVisayas _Ÿ˜”_Ÿ˜”_Ÿ˜”_Ÿ˜”_Ÿ˜”,,,Related - but not informative
3.89952E+17,"RT @Chakan3ss: Congrats sa #GenesisPilot gnda ng effects ramdan ang #Earthquake sa Cebu and Bohol, Loboc church in Bohol #PrayforVisayas anâ€_",,,Related - but not informative
3.89953E+17,RT @jpagreg: #prayforbohol #prayforcebu,Tue Oct 15 03:15:37 +0000 2013,Philippines,Related - but not informative
3.89953E+17,#PrayForVisayas Keep Safe EveryOne,,,Related - but not informative
3.89953E+17,RT @miggoww: Loboc Church in Bohol then and now after the 7.2 magnitude earthquake just today #earthquake #PrayForVisayas (cto) http://t.coâ€_,Tue Oct 15 03:17:02 +0000 2013,Nirvana,Related and informative
